Специальность, 1. Врач должен регулярно тесно общаться с пациентами," 2. Врач работает со сложными переживаниями пациентов: сообщает плохие новости, улаживает конфликты"," 3. Врач каждый день выполняет операции или мануальные процедуры, например, постановку ЦВК, массаж, УЗИ, артроскопию", 4. Врач регулярно работает со сложной в освоении техникой вроде МРТ и линейного ускорителя," 5. Врач регулярно взаимодействует с кровью, гноем, внутренними органами, тяжелыми травмами и другими вещами, которые сильно действуют на впечатлительных людей"," 6. Врачу приходится выдерживать тяжелые физические нагрузки или проводить манипуляции, требующие большой грубой силы"," 7. Врач часто сталкивается со смертью, неизлечимыми больными и пациентами в тяжелом состоянии", 8. Врач проводит большую часть дня сидя на одном месте, 9. Врач должен быстро принимать решения и не теряться в критических ситуациях," 10. Врач помогает другому специалисту в постановке диагноза или проведении процедур, но сам не является лечащим", 11. Врач часто работает в команде, 12. Врач ведет одного и того же пациента длительное время: примерно год и более, 13. Врач должен долгое время проводить стоя, 14. Врач является узким специалистом в определенной сфере," 15. Врач имеет специальность широкого профиля и регулярно обращается к знаниям из смежных областей. Например, терапевт и гастроэнтеролог", 16. У врача этой специальности более высокий риск заразиться от пациента," 17. Врач проводит в среднем больше времени за бумажной работой, чем коллеги из других сфер"," 18. Врач напрямую отвечает за состояние больного, то есть является лечащим", 19. Врач регулярно получает обратную связь и признание от пациентов, 20. Врач работает по предсказуемому и постоянному графику," 21. В сообществе врачей многие считают, что эта специальность в большей степени подходит мужчинам", 22. Работа предполагает ночные регулярные ночные или суточные смены
Эндоскопия,4,2,5,3,5,4,5,4,5,3,3,5,5,4,3,5,2,1,3,4,3,3
Эндоскопия,3,3,3,3,4,3,3,2,5,4,4,4,3,5,4,3,4,4,4,4,5,4
Эндоскопия,5,4,5,5,5,5,1,1,5,5,5,5,1,1,5,1,1,5,5,5,3,5
Эндоскопия,5,5,5,1,5,3,5,1,5,5,5,5,5,5,3,5,1,1,3,4,3,5
Эндоскопия,5,4,5,3,5,5,5,2,5,2,5,4,5,2,5,4,4,4,4,2,3,4
Эндоскопия,5,3,5,3,5,1,1,5,5,5,5,5,3,3,4,4,5,3,5,5,1,4
Эндокринология,3,4,2,2,1,1,4,5,5,5,5,5,3,5,5,2,4,5,4,4,2,2
Эндокринология,4,4,2,3,3,2,4,5,4,3,4,3,2,4,5,2,3,3,3,2,2,1
Эндокринология,4,5,1,1,1,1,2,5,4,1,4,5,1,5,4,1,3,5,4,5,1,1
Эндокринология,2,4,1,1,1,2,2,3,4,4,3,4,2,4,4,2,4,4,3,4,2,1
Эндокринология,4,3,1,1,1,1,2,5,4,2,4,5,1,3,5,3,3,5,4,5,1,1
Фтизиатрия,5,5,5,5,3,4,5,4,5,4,5,4,4,4,5,5,4,5,3,4,2,4
Фтизиатрия,5,5,1,1,4,2,5,4,5,2,5,2,2,5,2,5,4,5,4,5,3,3
Фтизиатрия,4,5,2,3,5,3,5,3,5,2,5,5,3,5,5,5,3,5,5,5,3,5
Фтизиатрия,5,5,3,3,5,4,5,2,5,3,4,5,3,3,5,5,5,5,4,4,3,1
Фтизиатрия,5,5,2,1,2,2,5,2,5,5,5,5,2,4,2,5,2,5,5,4,1,2
Фтизиатрия,5,5,1,1,3,1,3,3,5,3,5,5,2,5,2,4,3,5,3,5,3,2
Фтизиатрия,5,5,3,3,4,4,4,4,5,4,5,5,3,4,4,5,4,5,2,1,2,1
Фтизиатрия,5,4,1,1,1,1,4,4,4,1,1,5,1,4,4,5,3,5,5,5,1,5
Фтизиатрия,5,4,3,2,2,2,4,4,5,2,4,5,2,2,4,5,4,5,5,5,2,3
Фтизиатрия,5,2,1,1,2,1,2,2,4,1,4,2,1,4,4,4,4,5,4,5,1,4
Физиотерапия,5,5,4,2,1,1,1,1,1,1,5,1,1,5,5,2,1,1,4,5,1,1
Физиотерапия,5,5,4,2,1,1,1,1,1,1,5,1,1,5,5,2,1,1,4,5,1,1
Физиотерапия,5,5,1,1,1,1,1,2,5,5,5,5,1,5,5,1,3,5,5,5,1,1
Физиотерапия,5,3,3,3,5,5,5,5,5,3,5,3,4,5,5,3,3,3,5,5,1,3
Физиотерапия,4,5,2,1,3,4,5,5,5,5,5,2,2,1,5,3,2,4,5,5,1,1
Физиотерапия,5,2,1,1,1,2,1,5,1,5,5,1,1,5,5,1,2,1,2,5,1,1
Физиотерапия,5,4,4,2,2,2,2,2,5,5,5,2,2,5,5,4,2,2,5,4,2,2
Физиотерапия,4,1,1,2,1,1,1,4,4,4,2,1,1,2,5,2,1,2,5,5,1,1
Трансфузиология,4,4,4,4,4,2,2,2,5,5,5,2,2,4,2,2,2,2,3,4,2,2
Трансфузиология,2,2,2,2,4,1,2,4,4,4,4,1,2,4,1,1,2,1,1,4,2,2
Трансфузиология,4,4,1,1,5,1,4,1,5,4,5,2,2,4,2,2,2,1,1,4,1,2
Трансфузиология,4,4,2,2,5,1,4,2,4,5,5,1,2,4,2,5,2,2,1,5,2,1
Трансфузиология,2,2,2,2,3,2,2,4,4,4,4,2,2,4,4,2,4,2,2,4,2,2
Трансфузиология,5,5,1,1,5,5,2,5,5,5,5,1,5,5,4,5,3,5,4,5,3,1
Трансфузиология,4,2,1,1,5,1,5,3,5,5,5,3,1,1,5,3,5,1,1,5,1,1
Травматология-ортопедия,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Травматология-ортопедия,4,4,3,2,4,4,4,3,4,3,3,3,3,4,4,4,4,4,2,2,3,5
Травматология-ортопедия,4,5,4,4,5,5,4,1,5,4,5,3,4,4,4,1,5,5,5,3,3,5
Травматология-ортопедия,5,4,4,4,4,3,3,3,5,3,5,3,4,4,4,5,4,4,3,3,5,4
Торакальная хирургия,5,5,5,5,5,5,5,4,5,4,5,4,5,2,5,3,4,5,3,2,3,5
