"Представьте, что вы уже работаете врачом. Насколько правильно эти утверждения описывают вашу специальность?",,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Время создания,Выберите специальность из списка, 1. Врач должен регулярно тесно общаться с пациентами,"2. Врач работает со сложными переживаниями пациентов: сообщает плохие новости, улаживает конфликты","3. Врач каждый день выполняет операции или мануальные процедуры, например, постановку ЦВК, массаж, УЗИ, артроскопию",4. Врач регулярно работает со сложной в освоении техникой вроде МРТ и линейного ускорителя,"5. Врач регулярно взаимодействует с кровью, гноем, внутренними органами, тяжелыми травмами и другими вещами, которые сильно действуют на впечатлительных людей"," 6. Врачу приходится выдерживать тяжелые физические нагрузки или проводить манипуляции, требующие большой грубой силы","7. Врач часто сталкивается со смертью, неизлечимыми больными и пациентами в тяжелом состоянии",8. Врач проводит большую часть дня сидя на одном месте,9. Врач должен быстро принимать решения и не теряться в критических ситуациях,"10. Врач помогает другому специалисту в постановке диагноза или проведении процедур, но сам не является лечащим", 11. Врач часто работает в команде,12. Врач ведет одного и того же пациента длительное время: примерно год и более,13. Врач должен долгое время проводить стоя, 14. Врач является узким специалистом в определенной сфере," 15. Врач имеет специальность широкого профиля и регулярно обращается к знаниям из смежных областей. Например, терапевт и гастроэнтеролог",16. У врача этой специальности более высокий риск заразиться от пациента,"17. Врач проводит в среднем больше времени за бумажной работой, чем коллеги из других сфер","18. Врач напрямую отвечает за состояние больного, то есть является лечащим", 19. Врач регулярно получает обратную связь и признание от пациентов,20. Врач работает по предсказуемому и постоянному графику,"21. В сообществе врачей многие считают, что эта специальность в большей степени подходит мужчинам",22. Работа предполагает ночные регулярные ночные или суточные смены,23. Врач быстро видит результат своей работы,"Сколько лет после окончания специалитета (6 лет учебы) необходимо, чтобы освоить эту специальность для начала самостоятельной работы","Если условия работы в стационаре и амбулатории значительно отличаются для вашей специальности, напишите, чем именно"
1238775292,2022-10-24 13:20:01,Педиатр,4 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,3 балла,4 балла,4 балла,2 балла,3 балла,5 баллов,4 балла,1 балл,5 баллов,5 баллов,4 балла,5 баллов,4 балла,4 балла,1 балл,1 балл,,2,
1238758358,2022-10-24 13:02:30,Эндоскопист,5 баллов,3 балла,5 баллов,3 балла,5 баллов,1 балл,1 балл,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,3 балла,3 балла,4 балла,4 балла,5 баллов,3 балла,5 баллов,5 баллов,1 балл,4 балла,,5,не отличаются
1238756610,2022-10-24 13:00:40,Кардиолог,4 балла,5 баллов,2 балла,1 балл,1 балл,1 балл,4 балла,4 балла,5 баллов,5 баллов,4 балла,5 баллов,1 балл,2 балла,5 баллов,1 балл,4 балла,4 балла,5 баллов,2 балла,1 балл,1 балл,,2,
1238745165,2022-10-24 12:48:47,Акушер-гинеколог,4 балла,4 балла,1 балл,1 балл,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,4 балла,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,,2,
1238704922,2022-10-24 12:07:49,Радиотерапевт,5 баллов,5 баллов,2 балла,5 баллов,3 балла,2 балла,4 балла,3 балла,5 баллов,1 балл,5 баллов,2 балла,1 балл,5 баллов,5 баллов,1 балл,3 балла,5 баллов,3 балла,5 баллов,1 балл,1 балл,,2,"В поликлинике врач ведет отбор пациентов на лечение, но непосредственно сам пациентов не лечит"
1238677558,2022-10-24 11:39:41,Анестезиолог-реаниматолог,4 балла,4 балла,3 балла,3 балла,5 баллов,5 баллов,5 баллов,2 балла,5 баллов,5 баллов,5 баллов,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,2 балла,3 балла,2 балла,3 балла,5 баллов,5 баллов,,2,
1238664244,2022-10-24 11:25:49,Терапевт,5 баллов,5 баллов,3 балла,3 балла,4 балла,4 балла,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,3 балла,3 балла,5 баллов,5 баллов,5 баллов,3 балла,3 балла,5 баллов,1 балл,1 балл,,100,"стационар дело временное, кроме психиатрии, амбулатория ведет пожизненно"
1238657294,2022-10-24 11:18:31,Анестезиолог-реаниматолог,4 балла,5 баллов,5 баллов,4 балла,5 баллов,4 балла,5 баллов,1 балл,5 баллов,4 балла,5 баллов,3 балла,4 балла,3 балла,5 баллов,5 баллов,4 балла,5 баллов,1 балл,3 балла,5 баллов,5 баллов,,10,
1238652607,2022-10-24 11:13:30,Радиотерапевт,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,2 балла,3 балла,4 балла,4 балла,3 балла,5 баллов,1 балл,1 балл,5 баллов,3 балла,3 балла,3 балла,5 баллов,1 балл,1 балл,1 балл,1 балл,,2,нет больших отличий
1238649006,2022-10-24 11:09:36,Анестезиолог-реаниматолог,4 балла,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,5 баллов,5 баллов,1 балл,1 балл,5 баллов,5 баллов,5 баллов,1 балл,5 баллов,1 балл,1 балл,5 баллов,5 баллов,,2,Нет
