,№ вопроса,Значение p,Скорректированное значение p,Кластер 0,Кластер 1,Кластер 2
0,1,4.760889365029157e-34,1.0473956603064146e-32,"{'count': 133.0, 'mean': 3.0977443609022557, 'std': 1.3306677615878904, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.4213197969543145, 'std': 0.8795975741102392, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 4.528795811518324, 'std': 0.8151827743352782, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}"
1,2,1.1942292636079569e-46,2.627304379937505e-45,"{'count': 133.0, 'mean': 2.6466165413533833, 'std': 1.3438721119811494, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.5, 'std': 0.8047252308713937, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 4.4162303664921465, 'std': 0.8646140214625124, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}"
2,3,2.214299342763642e-78,4.871458554080013e-77,"{'count': 133.0, 'mean': 2.526315789473684, 'std': 1.6170443827814898, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.8223350253807107, 'std': 1.2248107833059034, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 1.698952879581152, 'std': 1.035307885472408, 'min': 1.0, '25%': 1.0, '50%': 1.0, '75%': 2.0, 'max': 5.0}"
3,4,3.280070768733923e-66,7.21615569121463e-65,"{'count': 133.0, 'mean': 2.518796992481203, 'std': 1.5105763688246587, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.3477157360406093, 'std': 1.3827020640285455, 'min': 1.0, '25%': 2.0, '50%': 3.5, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 1.5157068062827226, 'std': 0.8440089299982615, 'min': 1.0, '25%': 1.0, '50%': 1.0, '75%': 2.0, 'max': 5.0}"
4,5,4.6453331054590796e-102,1.0219732832009975e-100,"{'count': 133.0, 'mean': 2.827067669172932, 'std': 1.5978739577263694, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.380710659898477, 'std': 0.9340783118452178, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 1.8350785340314135, 'std': 1.094738007996514, 'min': 1.0, '25%': 1.0, '50%': 1.0, '75%': 2.0, 'max': 5.0}"
5,6,1.4416029837614494e-101,3.1715265642751887e-100,"{'count': 133.0, 'mean': 2.218045112781955, 'std': 1.3162063591122788, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 3.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.027918781725888, 'std': 1.0444240574150974, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 1.7513089005235603, 'std': 0.9212771369803281, 'min': 1.0, '25%': 1.0, '50%': 1.5, '75%': 2.0, 'max': 5.0}"
6,7,7.633893690377039e-59,1.6794566118829486e-57,"{'count': 133.0, 'mean': 2.6466165413533833, 'std': 1.4883155453234982, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.464467005076142, 'std': 0.9273927694247677, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.0026178010471205, 'std': 1.4390480432784023, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}"
7,8,4.666804759643127e-12,1.026697047121488e-10,"{'count': 133.0, 'mean': 3.6390977443609023, 'std': 1.339031456080724, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 394.0, 'mean': 2.9035532994923856, 'std': 1.4377100690678282, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.581151832460733, 'std': 1.2848647438377596, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}"
8,9,5.0016329296786696e-43,1.1003592445293073e-41,"{'count': 133.0, 'mean': 3.7218045112781954, 'std': 1.2812954113675794, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.898477157360406, 'std': 0.34925979996820594, 'min': 2.0, '25%': 5.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 4.693717277486911, 'std': 0.5867409017082839, 'min': 2.0, '25%': 5.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}"
9,10,1.243749709491807e-10,2.7362493608819755e-09,"{'count': 133.0, 'mean': 3.9323308270676693, 'std': 1.4206032047978365, 'min': 1.0, '25%': 3.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.6294416243654823, 'std': 1.4618981675577802, 'min': 1.0, '25%': 2.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.086387434554974, 'std': 1.5181744240316926, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}"
