Unnamed: 0,№ вопроса,Значение p,Скорректированное значение p,Кластер 0,Кластер 1,Кластер 2
0,1,4.760889365029157e-34,1.0473956603064145e-32,"Среднее: 3.10, Медиана: 3.00, Межквартильный размах: (2.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 4.42, Медиана: 5.00, Межквартильный размах: (4.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 4.53, Медиана: 5.00, Межквартильный размах: (4.00, 5.00), Min: 1.00, Max: 5.00"
1,2,1.1942292636079567e-46,2.627304379937505e-45,"Среднее: 2.65, Медиана: 2.00, Межквартильный размах: (1.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 4.50, Медиана: 5.00, Межквартильный размах: (4.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 4.42, Медиана: 5.00, Межквартильный размах: (4.00, 5.00), Min: 1.00, Max: 5.00"
2,3,2.2142993427636417e-78,4.871458554080013e-77,"Среднее: 2.53, Медиана: 2.00, Межквартильный размах: (1.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 3.82, Медиана: 4.00, Межквартильный размах: (3.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 1.70, Медиана: 1.00, Межквартильный размах: (1.00, 2.00), Min: 1.00, Max: 5.00"
3,4,3.280070768733923e-66,7.21615569121463e-65,"Среднее: 2.52, Медиана: 2.00, Межквартильный размах: (1.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 3.35, Медиана: 3.50, Межквартильный размах: (2.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 1.52, Медиана: 1.00, Межквартильный размах: (1.00, 2.00), Min: 1.00, Max: 5.00"
4,5,4.64533310545908e-102,1.0219732832009975e-100,"Среднее: 2.83, Медиана: 2.00, Межквартильный размах: (1.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 4.38, Медиана: 5.00, Межквартильный размах: (4.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 1.84, Медиана: 1.00, Межквартильный размах: (1.00, 2.00), Min: 1.00, Max: 5.00"
5,6,1.4416029837614494e-101,3.1715265642751887e-100,"Среднее: 2.22, Медиана: 2.00, Межквартильный размах: (1.00, 3.00), Min: 1.00, Max: 5.00","Среднее: 4.03, Медиана: 4.00, Межквартильный размах: (3.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 1.75, Медиана: 1.50, Межквартильный размах: (1.00, 2.00), Min: 1.00, Max: 5.00"
6,7,7.633893690377039e-59,1.6794566118829486e-57,"Среднее: 2.65, Медиана: 2.00, Межквартильный размах: (1.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 4.46, Медиана: 5.00, Межквартильный размах: (4.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 3.00, Медиана: 3.00, Межквартильный размах: (2.00, 4.00), Min: 1.00, Max: 5.00"
7,8,4.666804759643127e-12,1.026697047121488e-10,"Среднее: 3.64, Медиана: 4.00, Межквартильный размах: (3.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 2.90, Медиана: 3.00, Межквартильный размах: (2.00, 4.00), Min: 1.00, Max: 5.00","Среднее: 3.58, Медиана: 4.00, Межквартильный размах: (3.00, 5.00), Min: 1.00, Max: 5.00"
8,9,5.0016329296786696e-43,1.1003592445293072e-41,"Среднее: 3.72, Медиана: 4.00, Межквартильный размах: (3.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 4.90, Медиана: 5.00, Межквартильный размах: (5.00, 5.00), Min: 2.00, Max: 5.00","Среднее: 4.69, Медиана: 5.00, Межквартильный размах: (5.00, 5.00), Min: 2.00, Max: 5.00"
9,10,1.243749709491807e-10,2.7362493608819755e-09,"Среднее: 3.93, Медиана: 5.00, Межквартильный размах: (3.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 3.63, Медиана: 4.00, Межквартильный размах: (2.00, 5.00), Min: 1.00, Max: 5.00","Среднее: 3.09, Медиана: 3.00, Межквартильный размах: (2.00, 4.00), Min: 1.00, Max: 5.00"
